Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N10.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N11.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N12.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N13.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N14.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N15.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N16.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N17.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N18.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N19.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N20.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N21.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N22.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N23.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N24.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N25.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N26.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N27.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N28.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N29.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N30.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N31.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N32.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N33.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N34.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N35.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N36.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N37.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N38.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N39.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N40.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N41.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N42.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N43.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P10.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P11.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P12.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P13.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P14.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P15.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P16.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P17.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P18.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P19.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P20.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P21.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P22.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P23.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P24.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P25.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P26.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P27.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P28.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P29.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P30.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P31.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P32.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P33.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P34.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P35.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P36.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P37.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P38.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P39.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P40.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P41.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P42.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P43.mzML
P49750	P49750	YLPM1_HUMAN	YLPM1	YLP motif-containing protein 1	3.95943e+06	991313	1.03811e+06	961161	668398	668462	576211	515520	434892	639542	1.06697e+06	1.57467e+06	1.37665e+06	613594	560475	580726	477801	462852	443128	522810	316251	263443	282450	309173	302670	267283	267303	277528	336291	420838	461765	771453	447751	227401		235745	239277	264312	276393	214839	305293	139571	110623	262019	604236	1.14985e+06	1.0552e+06	786699	426433	396041	314409	316695	153665	144209		163696	160383		212366	311873	241386	219391	369738	327855	438275	604275	526205	491766
P49756	P49756	RBM25_HUMAN	RBM25	RNA-binding protein 25		210386	245195	312295	463761	409414	629647	377737	187796	84914.6	86412	93524.4	115587	367912	572466	372625	210958	307226	292543	253482	143230	135294	101451	95835.5	157835	125640	142309	287130	376523	512422	526854	548525	223099	189110												37050.2	21481	41328.6	74170.8	93564.6	95020.1	64832.2	398392	35390		103875	97055.4	607994	82838.3	124239	88123.8	207864	680773	427681	634824	282485	94889.9	197651
P49757	P49757	NUMB_HUMAN	NUMB	Protein numb homolog		202006	116740	201476	229148	365829	262637	173219	150622	141873	175087	140776	67206.6	62104.2	47521	43972.3	26462.6	26606	28867.7	62676.8	31564.6	36151.3	38473.1	53113	35762.2	38300.7	37173.9	31236.9	34516.3	38630.1												174872	180097	114811	88368.8	111361	59789.8	49826.5	30710.5	33447	27536.4	36087.7		22924.9		28530.5	37935.9		29451.4	35362.4	33395.3	12747.3	89183.3			225021		
P49763	P49763	PLGF_HUMAN	PGF	Placenta growth factor		26268																			632.418						283942															360130			29347.2							44641.3														206726		
P49770	P49770	EI2BB_HUMAN	EIF2B2	Translation initiation factor eIF-2B subunit beta													24761.4	60343.6	31627	24159.1	7652.66									5194.68		8685.11																			25540.5	55888.7	36682	16165.5	6925.13										32202							
P49773	P49773	HINT1_HUMAN	HINT1	Adenosine 5'-monophosphoramidase HINT1	1.27271e+08	4.06496e+07	2.29732e+07	1.42195e+07	7.01101e+06	4.3888e+06	2.23647e+06	1.16057e+06	1.05122e+06	925211	1.0766e+06	680477	390208	459683	316258	345725	248489	253948	272095	342978	202614	216435	195348	210205	194313	319439	265546	439235	512995	735480	672810	722421	699962	763624	2.90981e+07	4.2189e+07	2.16637e+07	1.23634e+07	7.8901e+06	4.15548e+06	2.51352e+06	1.53627e+06	926617	1.41845e+06	1.21916e+06	1.24583e+06	695716	490971	423516	551141	488362	332296	203578	279775		221396	174938		284111	652824	502554	595842	873504	779826	622178	832326	1.43216e+06	2.04785e+06
P49789	P49789	FHIT_HUMAN	FHIT	Bis(5'-adenosyl)-triphosphatase		424912	397869	524022	346050	381162	272448	85589.4	77363.8	69601.9	33613.9	25076.7			4209.99		11440.6									164112										523413	449956	546635	634461	316000	271247	349964	256426			18029.5																						
P49792	P49792	RBP2_HUMAN	RANBP2	E3 SUMO-protein ligase RanBP2		113160	60316.5		62797.4			77771.6	35416.4	32522.4	40954.8	35563.1	31006	22409.4	15104.2	18487	10234.4	13093.5	18946.6	16067.3	10640	8975.85	12467.4	10777.5	9883.08	11376.9	13143	20541.2																		18134.4		14148.7	13872.6	12542.7	8798.19					20619.9						27539						
P49796	P49796	RGS3_HUMAN	RGS3	Regulator of G-protein signaling 3																					4881.21	6122.99	7008.92	12117.5	15792.5	21807.8	40234.7	29491.4																															26125.3	31220	29411.8	33322.4						
P49821	P49821	NDUV1_HUMAN	NDUFV1	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial		221232	146022	149297	76694.9	71166.1	81269	61822.7	23445.1	18308	30219.1	31217.4	36383.9	44854.8	17105	8348.94	11378.1				15828.4															406090	322715	200685	212223	91513.2		79197.3		25106.4	45017.4	37622.4	30670.8	28933.2	14440.1								19038.9											
P49840	P49840;P49841	GSK3A_HUMAN	GSK3A	Glycogen synthase kinase-3 alpha													15851.5	39172.1	67736.4	38419.2	43746.9	16586.2	13975.7		11090.5	15816.1	39832.1			48439.8																						42777.8	58002.6	44933.6	35870.7																	
P49841	P49841	GSK3B_HUMAN	GSK3B	Glycogen synthase kinase-3 beta															18606.3	33317.2	88822.5	57472	23983		9782.75	13883.3		11408.5	27987.7	21072.3	22748.7	20042	18904.3																				20848	70305	125206	25557.3				16100.2				36166.1	24475.9	29491.3				245976		
P49902	P49902	5NTC_HUMAN	NT5C2	Cytosolic purine 5'-nucleotidase			120044														23075.9	40136.7			23402	26604	37456.8	60451.2	63220.4	126382	203465	674901	694159	321884	222853	115226	78592.3																							23360.5	30244.2		38746.5	70961.3	188642	668584	746051	527515	465111	166287	83682.4	
P49903	P49903	SPS1_HUMAN	SEPHS1	Selenide, water dikinase 1											14763	17123.6	31156.1	51863.2	29359.1	15506.2	12809	10545.4	27966.2		7914.28	2997.8	7402.98																							37695.3	34183.1	49801.3	24227.5	10224.5																		
P49913	P49913	CAMP_HUMAN	CAMP	Cathelicidin antimicrobial peptide																			8959.37								79821.7																									40046.8					7560.93		14425.3	38279.3								
P49915	P49915	GUAA_HUMAN	GMPS	GMP synthase [glutamine-hydrolyzing]	875409	4.8207e+06	4.42641e+06	3.37723e+06	3.34224e+06	3.77412e+06	4.59613e+06	6.04087e+06	7.00595e+06	3.99987e+06	2.08461e+06	1.15795e+06	471322	307790	258799	204571	190862	178503	194391	106227	122289	114043	114294	126766	139021	144440	116767	130245	111071	283149	135828	129827	183861	1.06846e+06		5.49707e+06	6.4912e+06	4.83842e+06	4.21943e+06	4.19888e+06	6.01594e+06	6.70032e+06	6.58841e+06	2.27434e+06	1.60172e+06	1.33863e+06	414910	332749	277911	203956	211269		103855	110450		136422	113165		172673	155546	133057	150240	127293		110281	515347	310469	315266
P49959	P49959	MRE11_HUMAN	MRE11	Double-strand break repair protein MRE11														5163.13				6548.47	17947.7	12891.1	17514.1	14174.4	12982	16944.3	9637.52	12023.8	9459.76	16433.6																88593.1												9684.52	5059.9		11121	9125.13	9088.8							
P50213	P50213	IDH3A_HUMAN	IDH3A	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	1.3497e+07		1.16049e+06				52546.4	803843	60534	321605	704294	447761	246015	97767.7	55467.5	27313.3	21789.5	11108.4	9398.01		3951.91	10567.1				13285.8			67297.4	1.93452e+06		5.0755e+06											47444.3	174598	646143	623748	209514	103663	47125.2	24040.8	11842											21830.2						
P50219	P50219	MNX1_HUMAN	MNX1	Motor neuron and pancreas homeobox protein 1		1.17454e+06	1.29042e+06	987695	812421	472478	734478	214058	53018.3	67782.9	63339.8	27426.4	16118.2		14783.2	28402.9	13152.5	31837.6	15324.8	31100.8	28831.3	32818.1	32863	27204.5	45082	46390.9							128314			247623	277679	619449	485408	466642	222457	144823				51528.3			31449.6	27857	20310.4					42464.4	21991.4		36326.2	40448	53294	25808.1					155324	
P50225	P50225;P50226	ST1A1_HUMAN	SULT1A1	Sulfotransferase 1A1									115129	607557	924203	872389	539432	245393	127650	61554.5	49138.6	33026.4	29222.7	27790.3	25646.4	20525.1	15216.2	14145.1	13195.5	30781.7				592054													70722.7	131123	858915	922832	369156	249476	116135	62151.1	43071.7		18409.7			25599.8	9227.8				17257.8	32683.8	619600					
P50238	P50238	CRIP1_HUMAN	CRIP1	Cysteine-rich protein 1											132761	36625.4	36289.2		22744.1	25587.9	29994.8	44372.8	24365	31344.6	25924.4	27437.1	26865.9	34549.5	23266.1	32031	12033.4	25004.9	36531	62562														127219	202963	327926	120415	94210.8	143819	161480	233595		107720	105488		117211	125221		80489.3	92170.9	85057.8	92657.4	96761.7	143643	174461	94792.2	40073.4	68112.9
P50395	P50395	GDIB_HUMAN	GDI2	Rab GDP dissociation inhibitor beta						711641	105960			22607.3	30501.8	97691	370428	113617	46047.5	31408.3	30430.7	13772.7	52196.1		17793.9	7038.05																				25882.9		13614.2		107272	405932	149412	79298.5	25869.7	18029											35494.4	58573					
P50402	P50402	EMD_HUMAN	EMD	Emerin		46887	110345	200631	255219	205289	45827.9	62188	75630	56868.1	33315.7	22821.3	23428.4	21228.4	25041	16638.8	19357.5	23729.3	32547.1	52726.9	17895.2	18904.6	17130	14988.9	11919	10722.3	13330.8	19225.6	27681.5																	55166.3	7726.63	20311.2		18585.8	13248.2	20515.2	22803.2	15662.9					10922.6	25556.5	20337.3	33827.7	33918.8					
P50452	P50452	SPB8_HUMAN	SERPINB8	Serpin B8											6602.14		10533.4	11720.6	11182.6	18968.1	22019.2	18867.8																																8402.6	20211.9																	
P50453	P50453	SPB9_HUMAN	SERPINB9	Serpin B9														11981.2	7022.6	7258.52	2203.45	7271.14																														9357.83	12944.1																			
P50454	P50454	SERPH_HUMAN	SERPINH1	Serpin H1		186213	287520	336435	728797	386326	749782	221264	280335	1.10094e+06	6.34319e+06	1.93901e+06	490278	708906	444297	391256	371525	282007	288201	238905	186492	167935	176538	165127	179619	164245	199369	246393	231388	377444	443613	420692	557896	250007		194941		369749	551825	353298	546702	559712	876816	1.20096e+06	3.0899e+06	1.91315e+06	437708	515597	448032	488737	387922	226201	196317	85330.8	2.01442e+08	162946	137764		146674	263989	197878	223333	338723	224772	342459	432300	617968	404727
P50502	P50502;Q8NFI4	F10A1_HUMAN	ST13	Hsc70-interacting protein													27683.4		34690.9	26118.1	64453.1	100960	191784	167737	100412	78422	82429.7	77810.4	90219.2	73398.2	65089	97484.6	95978.3	99982.4		91895																	28509	53142	92462.9	109131	123962	115256		99022.5	94579.2		100294	136856	126885	145369	102245	182951				
P50552	P50552	VASP_HUMAN	VASP	Vasodilator-stimulated phosphoprotein		59774								10963.1	20394.9	47220.2	78873.9	62435.9	34132.4	32828.2	27080.9	14254.7	17640.2	15278.4	5289.7	3423.49	9169.51	6649.51	5111.48	5036.05																		50221.6		33315	47735.6	79283.9	52364.2	51199.9	39339.8	775533		817391						23412	20011.7		15916.8					
P50570	P50570;Q9UQ16	DYN2_HUMAN	DNM2	Dynamin-2										146627	362187	83406.2	17106.5															11364.1																				8664.39																				
P50579	P50579	MAP2_HUMAN	METAP2	Methionine aminopeptidase 2																						4077.07	8888.55	49236.8	26835.9	8400.71																														27905.8			32406.2									
P50583	P50583	AP4A_HUMAN	NUDT2	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]									271871					97950.6	86904.8	33036.7	11047.9	10959.8																														115580	99610	21878.8	19065.7						26154.3											
P50613	P50613	CDK7_HUMAN	CDK7	Cyclin-dependent kinase 7															6785.65	34618.1	86576.6	81147.3	40449.7	39910.7	28932	20176.5	17951	21645.6	32785.7	23946.9	22915.5	43349.6																						37523.2	65774.7	106681	105357	53717.9		31146.9	24366.5		14383.7	44750.5								
P50747	P50747	BPL1_HUMAN	HLCS	Biotin--protein ligase										30905.2	18193.8	42891.6	29213.3	67663.7	157913	120147	123215	87148.6	67526.6	14692	20975.3	17732.3	26277			27596.2				906390			42833.6															49240	157334	81548.1	76536.8		50423.4			30518.7												
P50750	P50750	CDK9_HUMAN	CDK9	Cyclin-dependent kinase 9		208667	537828	252153	319802	195406		211276	33846.4			31964.7	47566.6	190607	359993	475708	175773	105794	88497.7	101394	85194.7	79178.7	87372.6	97766.1	118266	120097	136411	73810.4	89215.8	130895	73495.2		64579.3													10165.8	37728.5	174665	365740	304356	188362	84419.2	97431.4	62686.5		74307.8	62049.8		118791	79055	126440	87676.4	98139		92088.4	155150	39966.6	
P50851	P50851	LRBA_HUMAN	LRBA	Lipopolysaccharide-responsive and beige-like anchor protein		115424		97102.4														12982.7			9422.33	9809.67	20766.6	31408.1	40796.7	50221.4	44654.9	40705.7	76123.7																														40988.5	35082.7	41708.3	28374.1						362220
P50895	P50895	BCAM_HUMAN	BCAM	Basal cell adhesion molecule		29294.6													4558.34	5039.83	10416.1	4998.04	7266.69	8137.74																													7532.9	47515.8	13505.8																	
P50897	P50897	PPT1_HUMAN	PPT1	Palmitoyl-protein thioesterase 1		152283	204375	188248	112656	120353	81581.3	51028.2	48015.4	43532.8	43126.1	24543.9	18540.8	6810.22	4408.28		4154.34	5621.95	18416.9			3419.5			3617.37	8967.86										416507	210079	456300					36128.6			18240.7	10973.3				4762.63									19527.3								
P50914	P50914	RL14_HUMAN	RPL14	60S ribosomal protein L14													58315.4							32672.6		62610.2	37452.6	56257	87363.4	93532.2	92297.3	163220	246521	280276	405859		128376																		9370.72							189782	85223.7	109010	62238.4	115240	180866	377282	358906		122264	
P50990	P50990	TCPQ_HUMAN	CCT8	T-complex protein 1 subunit theta	2.108e+06	226024	886458	274069	180887	187570	266361	97492	60545.4	63190.8	116812	46628.9	130812	245344	509735	775479	849516	790319	1.56026e+06	3.16569e+06	8.93812e+06	9.37663e+06	9.8138e+06	9.25115e+06	1.05983e+07	1.09866e+07	8.45549e+06	5.99657e+06	3.50672e+06	1.48683e+06	3.13788e+06	1.85365e+06	3.10086e+06	5.857e+06	519279	208738		515738		966092	373041	156455	78626.4		132827	40827.5	46713.9	216542	381333	452881	538627	214735	993229	4.11657e+06	1.99471e+08	9.76459e+06	9.79097e+06	9.14027e+06	1.03113e+07	6.39947e+06	7.6278e+06	4.62354e+06	3.03651e+06	2.24254e+06	2.71053e+06	2.01373e+06	3.56176e+06	3.17843e+06
P50991	P50991	TCPD_HUMAN	CCT4	T-complex protein 1 subunit delta	1.75393e+06	204600	816193	310710	226267	236011	404271	137980	105041	122820	187557	160071	257877	808574	4.90613e+06	2.70015e+06	597966	510629	1.16341e+06	2.38591e+06	6.91239e+06	7.5075e+06	8.13042e+06	8.12035e+06	9.32031e+06	1.08235e+07	8.96802e+06	6.16254e+06	3.73664e+06	1.65929e+06	3.79164e+06	1.69032e+06	2.75128e+06	4.85299e+06	1.47207e+06	566816	1.52913e+06	2.59379e+06	740137	1.34137e+06	538514	334057	246296	151975	229725	172961	155639	634924	4.10517e+06	1.98233e+06	529694	304623	843733	3.45674e+06	1.11037e+08	8.95542e+06	9.851e+06	1.15755e+07	9.44489e+06	7.1229e+06	7.4114e+06	4.35547e+06	2.84335e+06	2.10719e+06	3.34888e+06	2.36579e+06	2.50109e+06	2.55139e+06
P50995	P50995	ANX11_HUMAN	ANXA11	Annexin A11		94010.1	104737	85121.5	127706	136003	85421.8	75128.2	27422.7	40031.8																											77257.8				138190	72647.8				27361.2																						
P51003	P51003	PAPOA_HUMAN	PAPOLA	Poly(A) polymerase alpha												10749.1	19131	40166.7	34073.8	18962.5	8504.22																														13553.4	40487.4	45136.5	15504.8	11977.2																	
P51114	P51114;P51116	FXR1_HUMAN	FXR1	RNA-binding protein FXR1								95000.3	154837	92726	129208	84204.2		31170.5		17200.3		3373	5644.11	7075.29	6023.92	6289.16	8568.8	6567.24	6593.19	8615.99		3898.48																		12886.2										11361.6	7201.25				11661.8							
P51149	P51149	RAB7A_HUMAN	RAB7A	Ras-related protein Rab-7a													30526.1	13154.8	7901.7		7055.76						24479.4																							19209.2		17438.3	40531.9	11453.2												17311.8					61686.3	
P51178	P51178	PLCD1_HUMAN	PLCD1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1																	18419.7	21769.7	21828.8		15263.9	11228.1	11137.5	6268.9		7141.17																							6856.51																			
P51397	P51397	DAP1_HUMAN	DAP	Death-associated protein 1		298026	425257	843245	1.48227e+06	1.62071e+06	1.11186e+06	825209	949569	701264	1.45468e+06	2.12e+06	3.77476e+06	9.55191e+06	910994	375156	293024	131053	97809.6	307378	138390	93234.1	95387.1	29110.7	22318.2	69785.8	40379.7	44712.6	125635	494073	209691	1.52219e+06	260084	118394	298202	1.07254e+06	5.09011e+06	3.05549e+06	1.58214e+06	6.2919e+06	2.52796e+06	701578	1.29404e+06	4.35044e+06	2.44664e+06	5.22647e+06	6.48558e+06	1.09321e+07	2.35417e+06	840476	232024	201349	233561	373533		28491.1	53174.5		12782.3	139685	51316.2	131094	353489	374326	333214	523690	249953	169254
P51531	P51531	SMCA2_HUMAN	SMARCA2	Probable global transcription activator SNF2L2		435172	132566	105331	191811	106294	209305	282831	169193	137930	61484	29774.3	40585.9	49236.9	15556.5	12955.2							1697.51		26835.3	74097.3	71919.9	51052	89641.7	58538.6	135382					501773	150839				169137	342480	120137	88509.4	48679.4	36596.9	40362.5	45973.3	34528	15844									11439.1	84131.3	100884	77070.3	105171	64437.8	72493.1			
P51532	P51531;P51532	SMCA4_HUMAN	SMARCA4	Transcription activator BRG1	558437	595920	220589	295105	252330	267184	292965	729509	299227	211534	133290	89981.8	52437.6	49990.6	28340.8	27052.1	17372.1	17178.8	21287.5	23726.7	17321	24218	37290.6	44182.9	84839.1	227093	256567	227548	164648	152483	67079.6					604961	253258				321408	505275	359277	204939	134966	71610.4	33597	32361	25062.8	25691	37755.5			6725.61		13015.4	23239.7		81613.1	190547	245766	162562	170406	197115	269101	106343	90011.6	
P51553	P51553	IDH3G_HUMAN	IDH3G	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial											305849	301626	120590	36728.1	14130						36781.6	24628.2																						80551.9	191102	461082	152709	51707.1	18598.7											20658.2								
P51570	P51570	GALK1_HUMAN	GALK1	Galactokinase								61976.8	23145.6	42209.7	20045.2	12238.5	24577.3	10625	12993.1	13498.3	25539.6	13956.3	22401.9		31064.6		24281.7	29205.6	28364.4	35304.3	33287.3	29972.6	16440.2													81366.1				33756.8	22880.3	21159.7	19443.4	6526.07	5189.56						26398.7		104966	22715.2	24343	39652.8						
P51571	P51571	SSRD_HUMAN	SSR4	Translocon-associated protein subunit delta													8843.15		3299.52	7902.82	5610.41	2399.23	10839.4		11988.9	5858.51	11002.4	15648.5	18246.7	21319.9		24501																							7715.79					15993.4	12820.6		2861.94	28689.3	25086.3	5975.27						
P51608	P51608	MECP2_HUMAN	MECP2	Methyl-CpG-binding protein 2		297679	249185	203712	173334		300561	133078	157550	148814	189140	140232	115408	87682.7	71732.9	53918.3	63135.1	69475.2	72253.9	74970.2	63650.4	85527.2	89315.1	114886	171781	281524	478558	896614	2.08466e+06	743313	789615	211370	233645			145084						115712		98119.6	235243	253388	213354	221858	99779.6	62786.1	84315.7	85837.3	121780	113482		81094.4	102501		205691	405251	616490	851084	2.61951e+06	1.26046e+06	499372	335042	207749	389102
P51610	P51610	HCFC1_HUMAN	HCFC1	Host cell factor 1	3.50409e+06	302185	204135	156085	123643	112979	189984	146640	302253	201280	235824	250982	281731	179936	86029	57731.7	39789.2	35113.4	34416.9	50566.3	31145.1	22760.7	27869.5	30196.8	40863	43789	55212.4	56017.2	100698							404952						158426	380081	275303	186789	381623	336397	168494	96210.3	80363.9	50502.5	30035.3	59682.1	53311.4		36343.9	18759.6		26320.8	46490.8	46546.2	37952.7				142169		
P51649	P51649	SSDH_HUMAN	ALDH5A1	Succinate-semialdehyde dehydrogenase, mitochondrial										23242.8	38215	32213	15770.8	9523.96		19422.2		15142.1																										22347.3	18437.4	47846.8	23393.2	6515.01	4879.77																			
P51659	P51659	DHB4_HUMAN	HSD17B4	Peroxisomal multifunctional enzyme type 2										43679.1		14773.6	19015.2	6518.07			17282	8187.68	8743.46		12938.7	21982.1	21361.2	30845.6	39438.7	49579.7	36676.2	33622.1	25445.3		347459	174707														39866.5	55596.5	23424.2	13985.6	10369	28817.8		57280.7			33317.4	28931.8		23767.6	26955.6	31529.8	43491.5	45832				82051.7	
P51665	P51665	PSMD7_HUMAN	PSMD7	26S proteasome non-ATPase regulatory subunit 7											19029.6	135035	191982	166616	97419.8	52524.9	39220.2	56621.7	78681	45568.5	56515	98834.1	165532	83104.8	54891	55358.7	64007.1	74142.7	114803		168121		69944.3													86904.9	171767	128323	85394.6	58911.5	35577.2		49451.6	62989.2		50302.1	106352	435563	51608.1	68011.4	54167.1	53962.9	140461	89160.8				
P51688	P51688	SPHM_HUMAN	SGSH	N-sulphoglucosamine sulphohydrolase		373382	157619	105953	276548	320129	312337	534935	539086	253685	158547	91307.6	47437.3	21807.4	10782.7	6035.6	15227		109878																	690238	174864		187299	170770	162618	451445	377854	196741	79193.1	143378	59041.3	30007.4	23505.4		15721.5									188628								
P51692	P51692	STA5B_HUMAN	STAT5B	Signal transducer and activator of transcription 5B																	9989.08	12795.2	6612.63		5136.36																													12483.7	11111.5																	
P51784	P51784	UBP11_HUMAN	USP11	Ubiquitin carboxyl-terminal hydrolase 11																					11008.7	20783	53988	97261.1	104465	197210	133005	112111	45432.2				105668																							11972.3	38832.5		88598.3	100861	82160.3	47521.5						
P51808	P51808	DYLT3_HUMAN	DYNLT3	Dynein light chain Tctex-type 3													9824.13	284553	41763.1	25361.4	28163	23722.8	30074.6	34489.1	44197.1	56326.9	43968	43842.4	112193	112242	62569.3	32185.6	36445.6																									38213.8		54775.1	55694.2		35715.9									
P51812	P51812;Q15418;Q9UK32	KS6A3_HUMAN	RPS6KA3	Ribosomal protein S6 kinase alpha-3								56069.7		79566.5			22339	20691	31395.9	24072	38572.3	38392.9	46483.7	21797	17662.4	11569.5	9527.33	8912.49	4459.75	9088.95		18151.8																				14657.8	24566.6	34078.8	33783.3	57141.1				20079	20638.2		12312.4									
P51817	P51817;O43930	PRKX_HUMAN	PRKX	cAMP-dependent protein kinase catalytic subunit PRKX												26821.3	22340.7	63905.3	25768.4		12082.1	9731.18	7792.67																											20821.2	59378.6	75809.5	36900.6	29006.6	21797.1																	
P51825	P51825	AFF1_HUMAN	AFF1	AF4/FMR2 family member 1		110799	163400	140354		71789		67067.8	38268.2	42864.5	39031	51317.4	38345.2	20610	8662.17													32373.1	33715.2	50987.7	49142.9											71763.7		122819		95341.9	58675.1	24055.7	6132.13												12396.7	32102.9	69214.5	53538.1				
P51858	P51858	HDGF_HUMAN	HDGF	Hepatoma-derived growth factor			478184										8020.59				1409.08	10347.6	11188.2	30791.3	19242.5	16753.9	39111.3	131739	82157.1	79470.2	84572.3	84858.2	84916.6	97027.6	161610	230890																		38112.7	8844.69					40751.8	56090.6		179079	303446	161674	207717	126488	116168	147415			
P51911	P51911	CNN1_HUMAN	CNN1	Calponin-1														403947	193158	163361					10857.6				21822.3	24956.3	18864.7																					364569		162986	72598.5										20765.3							
P51946	P51946	CCNH_HUMAN	CCNH	Cyclin-H																26807.2	65744.7	73534.1	50302.5	21663.8	20151.3	18604.9	16226.8	14764.7	26196.8	17732.6		20925.7																						15837	34880.3		64525.9			25173.8	23944.1		28114.1									
P51948	P51948	MAT1_HUMAN	MNAT1	CDK-activating kinase assembly factor MAT1													16224.6	16134.9		23483.9	49328.1	45691.8	37289.2	38277.8	17372.9	12599.9	16313.2	29437.9	6171.33	7845.65		13091.4																						22052.2	69484.8	64372.3				14760.4	36607.9		9192.28	18142.6								
